platform,customer,country,city,lat,lng
IngeData,b-rayZ,Switzerland,Schlieren,47.3965147,8.4444861
IngeData,namR,France,Paris,48.8534951,2.3483915
Innodata,Apple,United States,Cupertino,37.3228934,-122.0322895
Innodata,Boeing,United States,Arlington,32.7355816,-97.1071186
Innodata,Deloitte,United Kingdom,London,51.5074456,-0.1277653
Innodata,Google,United States,Mountain View,37.3893889,-122.0832101
Innodata,HP,United States,Palo Alto,37.4443293,-122.1598465
Innodata,Microsoft,United States,Redmond,47.6694141,-122.1238767
Innodata,Palantir,United States,Denver,39.7392364,-104.984862
Innodata,Scribd,United States,San Francisco,37.7879363,-122.4075201
Innodata,Snowflake,United States,Bozeman,45.6794293,-111.044047
Innodata,Sony,Japan,Tokyo,35.6768601,139.7638947
Innodata,US Department of Defense,United States,Arlington,32.7355816,-97.1071186
Innodata,Wolters Kluwer,Netherlands,Alphen aan den Rijn,52.1130693,4.6408057
Innodata,X,United States,San Francisco,37.7879363,-122.4075201
Keymakr,AMD,United States,Santa Clara,37.2333253,-121.6846349
Keymakr,AgwaFarm,Israel,Kibbutz Nir David,32.705022,35.317498
Keymakr,Bluewhite,Israel,Tel Aviv,32.0852997,34.7818064
Keymakr,Cipia,Israel,Tel Aviv,32.0852997,34.7818064
Keymakr,Cognex,United States,Natick,42.2836393,-71.346996
Keymakr,Evinced,United States,San Francisco,37.7879363,-122.4075201
Keymakr,Jabra,Denmark,Copenhagen,55.6867243,12.5700724
Keymakr,Logitech,Switzerland,Lausanne,46.5218269,6.6327025
Keymakr,Quality Match,Germany,Heidelberg,49.4093582,8.694724
Keymakr,RSIP Vision,Israel,Jerusalem,31.7788472,35.2257856
Keymakr,Recycleye,United Kingdom,London,51.5074456,-0.1277653
Keymakr,SeeChange,,,,
Keymakr,Segments.ai,,,,
Keymakr,Shopify,Canada,Ottawa,45.4208777,-75.6901106
Keymakr,SoundAware,,,,
Keymakr,Tenyks,,,,
Keymakr,V7,United Kingdom,London,51.5074456,-0.1277653
Keymakr,Walmart,United States,Bentonville,36.3728608,-94.208787
Keymakr,Zeekit,Israel,Tel Aviv,32.0852997,34.7818064
Keymakr,viisights,Israel,Tel Aviv,32.0852997,34.7818064
Sama,Birds.ai,,,,
Sama,Continental,Germany,Hanover,52.3744779,9.7385532
Sama,Ford,United States,Dearborn,42.3222599,-83.1763145
Sama,General Motors,United States,Detroit,42.3315509,-83.0466403
Sama,Getty Images,United States,Seattle,47.6038321,-122.330062
Sama,Google,United States,Mountain View,37.3893889,-122.0832101
Sama,Indoor Robotics,Israel,Tel Aviv,32.0852997,34.7818064
Sama,Meta,United States,Menlo Park,37.4519671,-122.177992
Sama,Microsoft,United States,Redmond,47.6694141,-122.1238767
Sama,NASA,United States,Washington,38.8950368,-77.0365427
Sama,NVIDIA,United States,Santa Clara,37.2333253,-121.6846349
Sama,OpenAI,United States,San Francisco,37.7879363,-122.4075201
Sama,Orbisk,Netherlands,Utrecht,52.0907006,5.1215634
Sama,PolyPerception,,,,
Sama,Precision AI,,,,
Sama,Qualcomm,United States,San Diego,32.7174202,-117.162772
Sama,Siemens,Germany,Munich,48.1371079,11.5753822
Sama,Sony,Japan,Tokyo,35.6768601,139.7638947
Sama,Swift,United States,Seattle,47.6038321,-122.330062
Sama,Tribe Dynamics,United States,San Francisco,37.7879363,-122.4075201
Sama,Verizon,United States,New York,40.7127281,-74.0060152
Sama,Volumental,Sweden,Stockholm,59.3251172,18.0710935
Sama,Vulcan,,,,
Sama,Walmart,United States,Bentonville,36.3728608,-94.208787
Sama,eBay,United States,San Jose,37.3361663,-121.890591
TaskUs,Auto Desk,United States,San Francisco,37.7879363,-122.4075201
TaskUs,Coinbase,United States,San Francisco,37.7879363,-122.4075201
TaskUs,Decagon,United States,San Francisco,37.7879363,-122.4075201
TaskUs,Kustomer,United States,New York,40.7127281,-74.0060152
TaskUs,Meta,United States,Menlo Park,37.4519671,-122.177992
TaskUs,Netflix,United States,Los Gatos,37.226611,-121.9746797
TaskUs,Savings.com,,,,
TaskUs,Tinder,United States,West Hollywood,34.0923014,-118.3692894
TaskUs,Uber,United States,San Francisco,37.7879363,-122.4075201
TaskUs,Whisper,,,,
TaskUs,Wikipedia,United States,San Francisco,37.7879363,-122.4075201
TaskUs,Zoom,United States,San Jose,37.3361663,-121.890591
iMerit,American Ancestors,United States,Boston,42.3588336,-71.0578303
iMerit,Autodesk,United States,San Francisco,37.7879363,-122.4075201
iMerit,Bill.com,United States,San Jose,37.3361663,-121.890591
iMerit,Blue River Technology,United States,Sunnyvale,37.3688301,-122.036349
iMerit,CrowdReason,,,,
iMerit,Enel Group,Italy,Rome,41.8933203,12.4829321
iMerit,GE Healthcare,United States,Chicago,41.8755616,-87.6244212
iMerit,Guerbet,France,Villepinte,43.2814917,2.0855714
iMerit,Johnson & Johnson,United States,New Brunswick,40.4951365,-74.4439254
iMerit,KinaTrax,United States,Boca Raton,26.3586885,-80.0830984
iMerit,Kitware,United States,Clifton Park,42.8630374,-73.7747623
iMerit,Latitude,,,,
iMerit,Medtronic,Ireland,Dublin,53.3493795,-6.2605593
iMerit,Microsoft,United States,Redmond,47.6694141,-122.1238767
iMerit,National Institutes of Health,United States,Bethesda,38.9812726,-77.1233587
iMerit,Orbital Insight,United States,Palo Alto,37.4443293,-122.1598465
iMerit,Philips,Netherlands,Amsterdam,52.3730796,4.8924534
iMerit,Reactive Reality,Austria,Graz,47.0708678,15.4382786
iMerit,Sentera,United States,Minneapolis,44.9772995,-93.2654692
iMerit,SheerID,United States,Portland,45.5202471,-122.674194
iMerit,TripAdvisor,United States,Needham,42.2802645,-71.2360624
iMerit,eBay,United States,San Jose,37.3361663,-121.890591
